,airportcode,airportcodecopy,airport,city,country,lat,long,currencycode,toeuro,fromeuro
212,NLF,NLF,Darnley Island Airport,Darnley Island,Australia,-9.58333,143.767,AUD,0.7253,1.3791
213,DPO,DPO,Devonport Airport,Devonport,Australia,-41.1697,146.43,AUD,0.7253,1.3791
214,ELC,ELC,Elcho Island Airport,Elcho Island,Australia,-12.0194,135.571,AUD,0.7253,1.3791
215,EPR,EPR,Esperance Airport,Esperance,Australia,-33.6844,121.823,AUD,0.7253,1.3791
216,FLS,FLS,Flinders Island Airport,Flinders Island,Australia,-40.0917,147.993,AUD,0.7253,1.3791
217,GET,GET,Geraldton Airport,Geraldton,Australia,-28.7961,114.70700000000001,AUD,0.7253,1.3791
218,GLT,GLT,Gladstone Airport,Gladstone,Australia,-23.8697,151.22299999999998,AUD,0.7253,1.3791
219,GTE,GTE,Groote Eylandt Airport,Groote Eylandt,Australia,-13.975,136.46,AUD,0.7253,1.3791
220,GFF,GFF,Griffith Airport,Griffith,Australia,-34.2508,146.067,AUD,0.7253,1.3791
221,HID,HID,Horn Island Airport,Horn Island,Australia,-10.5864,142.29,AUD,0.7253,1.3791
222,HOK,HOK,Hooker Creek Airport,Hooker Creek,Australia,-18.3367,130.638,AUD,0.7253,1.3791
223,MHU,MHU,Mount Hotham Airport,Mount Hotham,Australia,-37.0475,147.334,AUD,0.7253,1.3791
224,HGD,HGD,Hughenden Airport,Hughenden,Australia,-20.815,144.225,AUD,0.7253,1.3791
225,JCK,JCK,Julia Creek Airport,Julia Creek,Australia,-20.6683,141.72299999999998,AUD,0.7253,1.3791
226,KAX,KAX,Kalbarri Airport,Kalbarri,Australia,-27.69,114.262,AUD,0.7253,1.3791
227,KNS,KNS,King Island Airport,King Island,Australia,-39.8775,143.878,AUD,0.7253,1.3791
228,KFG,KFG,Kalkgurung Airport,Kalkgurung,Australia,-17.4319,130.808,AUD,0.7253,1.3791
229,KRB,KRB,Karumba Airport,Karumba,Australia,-17.4567,140.83,AUD,0.7253,1.3791
230,KWM,KWM,Kowanyama Airport,Kowanyama,Australia,-15.4856,141.751,AUD,0.7253,1.3791
